timestamp_utc,total
2026-07-25T09:33:25+00:00,8473041
2026-07-23T09:49:01+00:00,8470815
2026-07-22T09:49:29+00:00,8470573
2026-07-21T09:50:36+00:00,8470147
2026-07-20T10:03:20+00:00,8469763
2026-07-19T09:34:59+00:00,8469164
2026-07-18T09:31:36+00:00,8469002
2026-07-16T09:41:36+00:00,8465624
2026-07-15T09:37:49+00:00,8465173
2026-07-14T09:35:13+00:00,8464840
2026-07-13T10:07:14+00:00,8464203
2026-07-12T09:34:26+00:00,8464102
2026-07-11T09:32:05+00:00,8463922
2026-07-10T10:08:20+00:00,8462853
2026-07-09T10:20:30+00:00,8462270
2026-07-08T09:48:56+00:00,8461725
2026-07-07T10:11:12+00:00,8461273
2026-07-06T10:34:00+00:00,8461025
2026-07-05T09:50:39+00:00,8460853
2026-07-04T09:43:37+00:00,8460786
2026-07-03T10:01:41+00:00,8459941
2026-07-02T10:03:11+00:00,8459588
2026-07-01T10:22:09+00:00,8459105
2026-06-30T10:14:04+00:00,8458682
2026-06-29T10:36:48+00:00,8457952
2026-06-28T10:01:14+00:00,8457543
2026-06-26T10:06:20+00:00,8456833
2026-06-25T10:04:54+00:00,8456131
2026-06-24T10:06:08+00:00,8455386
2026-06-23T10:17:28+00:00,8455022
2026-06-22T10:55:31+00:00,8454607
2026-06-21T10:15:55+00:00,8454463
2026-06-19T10:32:43+00:00,8454000
2026-06-17T10:34:41+00:00,8452785
2026-06-16T10:37:27+00:00,8452469
2026-06-14T10:11:19+00:00,8451864
2026-06-10T10:27:05+00:00,8448778
2026-06-09T10:15:56+00:00,8448303
2026-06-08T10:36:53+00:00,8447805
2026-06-08T08:23:14+00:00,8447765
2026-06-05T10:22:57+00:00,8447282
2026-06-04T10:19:42+00:00,8446828
2026-06-03T10:35:29+00:00,8446537
2026-06-02T10:34:20+00:00,8446046
2026-06-01T10:46:00+00:00,8445684
2026-06-01T09:22:05+00:00,8445680
2026-05-31T23:28:06+00:00,8445628
2026-05-31T09:53:54+00:00,8445526
2026-05-28T13:44:32+00:00,8441362
2026-05-28T10:49:47+00:00,8441242
2026-05-27T10:25:53+00:00,8440354
2026-05-25T10:34:00+00:00,8439190
2026-05-24T09:38:35+00:00,8438847
2026-05-23T09:35:45+00:00,8438645
2026-05-22T10:07:08+00:00,8436047
2026-05-21T10:17:30+00:00,8435585
2026-05-20T21:13:11+00:00,8435541
2026-05-19T10:19:11+00:00,8434669
2026-05-18T10:30:08+00:00,8434269
2026-05-17T09:49:49+00:00,8433895
2026-05-16T09:33:39+00:00,8433386
2026-05-15T09:55:39+00:00,8431362
2026-05-14T09:49:25+00:00,8430869
2026-05-13T23:06:54+00:00,8430812
2026-05-12T09:55:58+00:00,8429931
2026-05-11T23:20:18+00:00,8429712
2026-05-11T23:16:42+00:00,8429711
